0.3,41.5538
0.480203,40.9576
0.490355,40.9487
0.495431,41.8207
0.500508,66.7964
0.508122,69.4192
0.515736,70.289
0.52335,70.2823
0.52335,70.2823
0.525888,77.2921
0.530964,75.0964
0.533503,72.0264
0.538579,70.269
0.541117,66.7608
0.546193,65.0033
0.551269,70.2579
0.551269,70.2579
0.553807,71.5704
0.556345,70.2534
0.561421,68.496
0.563959,66.3025
0.569036,64.1068
0.571574,62.7899
0.574112,61.9111
0.581726,61.028
0.58934,61.8978
0.594416,63.2081
0.60203,66.7074
0.604569,68.0199
0.607107,68.8942
0.612183,69.328
0.617259,68.0088
0.622335,63.1836
0.627411,54.8525
0.629949,47.8383
0.632487,44.3301
0.637563,40.8197
0.64264,37.7475
0.645178,36.4305
0.647716,36.4283
0.650254,36.4261
0.652792,38.6151
0.657868,35.9812
0.660406,34.2259
0.662944,33.3472
0.665482,34.2215
0.66802,36.4105
0.680711,67.9532
0.688325,77.5879
0.693401,85.4719
0.695939,90.2904
0.701015,94.2302
0.703553,97.7339
0.708629,99.4825
0.711168,100.795
0.713706,101.231
0.716244,100.791
0.718782,95.9676
0.718782,95.9676
0.72132,78.8737
0.72132,78.8737
0.723858,53.4532
0.728934,53.887
0.731472,71.8529
0.73401,85.8746
0.736548,89.3783
0.741624,47.7404
0.746701,53.8714
0.749239,55.6222
0.754315,56.4942
0.759391,56.4898
0.761929,54.2963
0.774619,34.5641
0.777157,32.3706
0.777157,32.3706
0.782234,22.7247
0.782234,22.7247
0.784772,16.5871
0.78731,14.8318
0.792386,14.8274
0.797462,16.5759
0.802538,19.6392
0.825381,61.2527
0.835533,77.8971
0.840609,89.2871
0.848223,95.8541
0.855838,99.3534
0.858376,100.666
0.86599,103.289
0.873604,104.159
0.876142,105.033
0.87868,98.8952
0.87868,98.8952
0.881218,88.8133
0.883756,82.2373
0.888832,80.4799
0.893909,79.599
0.896447,84.8557
0.898985,79.5945
0.901523,85.7277
0.911675,87.4718
0.916751,88.3439
0.919289,86.1504
0.919289,86.1504
0.921827,90.0924
0.926904,90.5262
0.929442,78.2531
0.934518,57.2128
0.939594,47.1286
0.947208,43.616
0.952284,43.1733
0.95736,44.9218
0.95736,44.9218
0.967513,63.3193
0.970051,66.3848
0.972589,73.8328
0.975127,74.7071
0.980203,73.3879
0.980203,73.3879
0.985279,68.5627
0.987817,64.6163
0.990355,62.4228
0.990355,62.4228
0.992893,55.8469
